quarter,clock,real_time,is_halftime
1,00:47,2019-11-28 20:53:21.041329,False
1,00:41,2019-11-28 20:53:36.200692,False
1,00:41,2019-11-28 20:53:51.389441,False
1,00:41,2019-11-28 20:54:06.462569,False
1,00:41,2019-11-28 20:54:21.854191,False
1,00:41,2019-11-28 20:54:37.154225,False
2,15:00,2019-11-28 20:54:52.250673,False
2,15:00,2019-11-28 20:55:07.350193,False
2,15:00,2019-11-28 20:55:22.833502,False
2,15:00,2019-11-28 20:55:37.931681,False
2,15:00,2019-11-28 20:55:53.095857,False
2,15:00,2019-11-28 20:56:08.226370,False
2,15:00,2019-11-28 20:56:23.412246,False
2,15:00,2019-11-28 20:56:38.520702,False
2,15:00,2019-11-28 20:56:53.748290,False
2,15:00,2019-11-28 20:57:08.905779,False
2,14:57,2019-11-28 20:57:24.403914,False
2,14:57,2019-11-28 20:57:39.518314,False
2,14:57,2019-11-28 20:57:54.602045,False
2,14:57,2019-11-28 20:58:09.719820,False
2,14:57,2019-11-28 20:58:24.932142,False
2,14:53,2019-11-28 20:58:40.039053,False
2,14:53,2019-11-28 20:58:55.257297,False
2,14:17,2019-11-28 20:59:10.366509,False
2,14:17,2019-11-28 20:59:25.474624,False
2,14:17,2019-11-28 20:59:40.731624,False
2,14:12,2019-11-28 20:59:55.832946,False
2,14:12,2019-11-28 21:00:10.933734,False
2,14:12,2019-11-28 21:00:26.068097,False
2,14:12,2019-11-28 21:00:41.198098,False
2,13:31,2019-11-28 21:00:56.314702,False
2,13:31,2019-11-28 21:01:11.399471,False
2,13:31,2019-11-28 21:01:26.525723,False
2,13:31,2019-11-28 21:01:41.688219,False
2,13:31,2019-11-28 21:01:56.790751,False
2,13:31,2019-11-28 21:02:11.889567,False
2,13:31,2019-11-28 21:02:26.985171,False
2,13:31,2019-11-28 21:02:42.094754,False
2,13:31,2019-11-28 21:02:57.305567,False
2,13:31,2019-11-28 21:03:12.397842,False
2,13:31,2019-11-28 21:03:27.520699,False
2,13:26,2019-11-28 21:03:42.644481,False
2,13:26,2019-11-28 21:03:57.739730,False
2,13:26,2019-11-28 21:04:12.813376,False
2,13:20,2019-11-28 21:04:27.915569,False
2,13:20,2019-11-28 21:04:43.066012,False
2,13:20,2019-11-28 21:04:58.157403,False
2,12:41,2019-11-28 21:05:13.241321,False
2,12:41,2019-11-28 21:05:28.337886,False
2,12:41,2019-11-28 21:05:43.465110,False
2,12:35,2019-11-28 21:05:58.575013,False
2,12:35,2019-11-28 21:06:13.679133,False
2,12:35,2019-11-28 21:06:28.772627,False
2,12:35,2019-11-28 21:06:43.898984,False
2,12:35,2019-11-28 21:06:59.072672,False
2,12:35,2019-11-28 21:07:14.178816,False
2,12:35,2019-11-28 21:07:29.284070,False
2,12:35,2019-11-28 21:07:44.426471,False
2,12:35,2019-11-28 21:07:59.522246,False
2,12:35,2019-11-28 21:08:14.630391,False
2,12:35,2019-11-28 21:08:29.738004,False
2,12:35,2019-11-28 21:08:44.828976,False
2,12:35,2019-11-28 21:08:59.892995,False
2,12:35,2019-11-28 21:09:15.179560,False
2,12:35,2019-11-28 21:09:30.300083,False
2,12:35,2019-11-28 21:09:45.383828,False
2,12:35,2019-11-28 21:10:03.525762,False
2,12:30,2019-11-28 21:10:18.637941,False
2,12:23,2019-11-28 21:10:33.804351,False
2,12:23,2019-11-28 21:10:48.901731,False
2,11:41,2019-11-28 21:11:03.989663,False
2,11:41,2019-11-28 21:11:19.068223,False
2,11:41,2019-11-28 21:11:34.175976,False
2,11:41,2019-11-28 21:11:49.293809,False
2,11:41,2019-11-28 21:12:04.376511,False
2,11:41,2019-11-28 21:12:19.479086,False
2,10:47,2019-11-28 21:12:34.563312,False
2,10:47,2019-11-28 21:12:49.743170,False
2,10:13,2019-11-28 21:13:04.996933,False
2,10:13,2019-11-28 21:13:20.100114,False
2,10:13,2019-11-28 21:13:35.243290,False
2,09:47,2019-11-28 21:13:50.370763,False
2,09:47,2019-11-28 21:14:05.488861,False
2,09:47,2019-11-28 21:14:20.595008,False
2,09:47,2019-11-28 21:14:35.717814,False
2,09:47,2019-11-28 21:14:50.819697,False
2,09:42,2019-11-28 21:15:05.933929,False
2,09:42,2019-11-28 21:15:21.044108,False
2,09:42,2019-11-28 21:15:36.132025,False
2,09:42,2019-11-28 21:15:51.281656,False
2,09:42,2019-11-28 21:16:06.407670,False
2,09:42,2019-11-28 21:16:21.493224,False
2,09:42,2019-11-28 21:16:36.674335,False
2,09:42,2019-11-28 21:16:51.811342,False
2,09:42,2019-11-28 21:17:06.954744,False
2,09:15,2019-11-28 21:17:22.187203,False
2,09:15,2019-11-28 21:17:37.378062,False
2,09:09,2019-11-28 21:17:52.490368,False
2,09:09,2019-11-28 21:18:07.624848,False
2,09:05,2019-11-28 21:18:22.774819,False
2,09:05,2019-11-28 21:18:37.869271,False
2,09:05,2019-11-28 21:18:53.079178,False
2,09:05,2019-11-28 21:19:08.395654,False
2,09:05,2019-11-28 21:19:23.515548,False
2,09:05,2019-11-28 21:19:38.617401,False
2,09:05,2019-11-28 21:19:53.745866,False
2,09:05,2019-11-28 21:20:08.845647,False
2,08:59,2019-11-28 21:20:24.168314,False
2,08:59,2019-11-28 21:20:39.304260,False
2,08:59,2019-11-28 21:20:54.388815,False
2,08:17,2019-11-28 21:21:09.539751,False
2,07:51,2019-11-28 21:21:24.618718,False
2,07:51,2019-11-28 21:21:39.738355,False
2,07:19,2019-11-28 21:21:54.885500,False
2,07:19,2019-11-28 21:22:09.952855,False
2,07:19,2019-11-28 21:22:25.068774,False
2,06:42,2019-11-28 21:22:40.152422,False
2,06:42,2019-11-28 21:22:55.284077,False
2,06:02,2019-11-28 21:23:10.542570,False
2,06:02,2019-11-28 21:23:25.667283,False
2,06:02,2019-11-28 21:23:40.786429,False
2,05:20,2019-11-28 21:23:55.912999,False
2,05:20,2019-11-28 21:24:11.022129,False
2,04:45,2019-11-28 21:24:26.143952,False
2,04:45,2019-11-28 21:24:41.278370,False
2,04:45,2019-11-28 21:24:56.374402,False
2,04:04,2019-11-28 21:25:11.469254,False
2,04:04,2019-11-28 21:25:26.604760,False
2,04:04,2019-11-28 21:25:41.721268,False
2,04:04,2019-11-28 21:25:56.792647,False
2,04:00,2019-11-28 21:26:11.899235,False
2,04:00,2019-11-28 21:26:27.015736,False
2,04:00,2019-11-28 21:26:42.122476,False
2,04:00,2019-11-28 21:26:57.245268,False
2,04:00,2019-11-28 21:27:12.346977,False
2,04:00,2019-11-28 21:27:27.533394,False
2,04:01,2019-11-28 21:27:43.020359,False
2,04:01,2019-11-28 21:27:58.130523,False
2,04:01,2019-11-28 21:28:13.265281,False
2,04:01,2019-11-28 21:28:28.375148,False
2,04:01,2019-11-28 21:28:43.493435,False
2,04:01,2019-11-28 21:28:58.605346,False
2,04:01,2019-11-28 21:29:13.794734,False
2,04:01,2019-11-28 21:29:29.107321,False
2,04:01,2019-11-28 21:29:44.202274,False
2,03:57,2019-11-28 21:29:59.368340,False
2,03:57,2019-11-28 21:30:14.679287,False
2,03:57,2019-11-28 21:30:29.770325,False
2,03:50,2019-11-28 21:30:44.974729,False
2,03:50,2019-11-28 21:31:00.182341,False
2,03:22,2019-11-28 21:31:15.362339,False
2,03:22,2019-11-28 21:31:30.462482,False
2,03:22,2019-11-28 21:31:45.688490,False
2,02:42,2019-11-28 21:32:01.022904,False
2,02:42,2019-11-28 21:32:16.352702,False
2,02:42,2019-11-28 21:32:31.561458,False
2,02:00,2019-11-28 21:32:46.653878,False
2,02:00,2019-11-28 21:33:01.774221,False
2,02:00,2019-11-28 21:33:16.902233,False
2,02:00,2019-11-28 21:33:32.039084,False
2,02:00,2019-11-28 21:33:47.212691,False
2,02:00,2019-11-28 21:34:02.321384,False
2,02:00,2019-11-28 21:34:17.459509,False
2,02:00,2019-11-28 21:34:33.582175,False
2,02:00,2019-11-28 21:34:48.727614,False
2,02:00,2019-11-28 21:35:03.817436,False
2,02:00,2019-11-28 21:35:19.020589,False
2,02:00,2019-11-28 21:35:34.219373,False
2,01:53,2019-11-28 21:35:49.524150,False
2,01:53,2019-11-28 21:36:04.625682,False
2,01:53,2019-11-28 21:36:19.726529,False
2,01:53,2019-11-28 21:36:34.841782,False
2,01:53,2019-11-28 21:36:50.128476,False
2,01:53,2019-11-28 21:37:05.236861,False
2,01:53,2019-11-28 21:37:20.340297,False
2,01:53,2019-11-28 21:37:35.462660,False
2,01:53,2019-11-28 21:37:50.572132,False
2,01:53,2019-11-28 21:38:05.680296,False
2,01:53,2019-11-28 21:38:20.804984,False
2,01:45,2019-11-28 21:38:35.944160,False
2,01:21,2019-11-28 21:38:51.303828,False
2,01:21,2019-11-28 21:39:06.450137,False
2,01:08,2019-11-28 21:39:21.651967,False
2,01:08,2019-11-28 21:39:36.831686,False
2,01:08,2019-11-28 21:39:51.954515,False
2,01:08,2019-11-28 21:40:07.079632,False
2,01:08,2019-11-28 21:40:22.203471,False
2,01:01,2019-11-28 21:40:37.287651,False
2,01:01,2019-11-28 21:40:52.388779,False
2,01:01,2019-11-28 21:41:07.482699,False
2,01:01,2019-11-28 21:41:22.719541,False
2,00:54,2019-11-28 21:41:38.022396,False
2,00:54,2019-11-28 21:41:53.127957,False
2,00:54,2019-11-28 21:42:08.369065,False
2,00:26,2019-11-28 21:42:23.491426,False
2,00:26,2019-11-28 21:42:38.618821,False
2,00:26,2019-11-28 21:42:53.734869,False
2,00:19,2019-11-28 21:43:08.832342,False
2,00:19,2019-11-28 21:43:23.925507,False
2,00:19,2019-11-28 21:43:39.034533,False
2,00:10,2019-11-28 21:43:54.164338,False
2,00:11,2019-11-28 21:44:09.254449,False
2,00:11,2019-11-28 21:44:24.375064,False
2,00:11,2019-11-28 21:44:39.485384,False
2,00:08,2019-11-28 21:44:54.579818,False
2,00:08,2019-11-28 21:45:09.673353,False
2,00:08,2019-11-28 21:45:24.771194,False
2,00:08,2019-11-28 21:45:39.887404,False
2,00:08,2019-11-28 21:45:55.048701,False
2,00:08,2019-11-28 21:46:10.120362,False
2,00:03,2019-11-28 21:46:25.259803,False
2,00:03,2019-11-28 21:46:40.348820,False
2,00:03,2019-11-28 21:46:55.482794,False
2,00:03,2019-11-28 21:47:10.648770,False
2,00:03,2019-11-28 21:47:25.776420,False
2,00:00,2019-11-28 21:47:40.975889,False
2,00:00,2019-11-28 21:47:56.076782,False
2,00:00,2019-11-28 21:48:11.716053,False
Halftime,15:00,2019-11-28 21:48:26.872898,True
Halftime,15:00,2019-11-28 21:48:42.009990,True
Halftime,15:00,2019-11-28 21:48:57.669821,True
Halftime,15:00,2019-11-28 21:49:12.770179,True
Halftime,15:00,2019-11-28 21:49:29.359881,True
Halftime,15:00,2019-11-28 21:49:44.620546,True
Halftime,15:00,2019-11-28 21:49:59.749815,True
Halftime,15:00,2019-11-28 21:50:14.865629,True
Halftime,15:00,2019-11-28 21:50:29.975786,True
Halftime,15:00,2019-11-28 21:50:45.094218,True
Halftime,15:00,2019-11-28 21:51:00.215754,True
Halftime,15:00,2019-11-28 21:51:15.347600,True
Halftime,15:00,2019-11-28 21:51:30.470447,True
Halftime,15:00,2019-11-28 21:51:45.813711,True
Halftime,15:00,2019-11-28 21:52:00.946541,True
Halftime,15:00,2019-11-28 21:52:16.048250,True
Halftime,15:00,2019-11-28 21:52:31.451169,True
Halftime,15:00,2019-11-28 21:52:46.547381,True
Halftime,15:00,2019-11-28 21:53:01.802057,True
Halftime,15:00,2019-11-28 21:53:17.091371,True
